tipo_registro,curso,agrupamento,periodo,total,resolvidos,nao_identificados,cobertura,expected_female,expected_male,female_percent_resolved,male_percent_resolved,variance_female,interval95_lower_resolved,interval95_upper_resolved
ingressante,Todos os cursos,ano,2006,31,0,31,0.0,0,0,,,0,,
ingressante,Todos os cursos,ano,2007,36,0,36,0.0,0,0,,,0,,
ingressante,Todos os cursos,ano,2008,42,0,42,0.0,0,0,,,0,,
ingressante,Todos os cursos,ano,2009,45,0,45,0.0,0,0,,,0,,
ingressante,Todos os cursos,ano,2010,41,0,41,0.0,0,0,,,0,,
ingressante,Todos os cursos,ano,2011,40,0,40,0.0,0,0,,,0,,
ingressante,Todos os cursos,ano,2012,40,0,40,0.0,0,0,,,0,,
ingressante,Todos os cursos,ano,2013,27,0,27,0.0,0,0,,,0,,
ingressante,Todos os cursos,ano,2014,31,0,31,0.0,0,0,,,0,,
ingressante,Todos os cursos,ano,2015,41,0,41,0.0,0,0,,,0,,
ingressante,Todos os cursos,ano,2016,41,0,41,0.0,0,0,,,0,,
ingressante,Todos os cursos,ano,2017,50,0,50,0.0,0,0,,,0,,
ingressante,Todos os cursos,ano,2018,45,0,45,0.0,0,0,,,0,,
ingressante,Todos os cursos,ano,2019,44,0,44,0.0,0,0,,,0,,
ingressante,Todos os cursos,ano,2020,30,0,30,0.0,0,0,,,0,,
ingressante,SISTEMAS DE INFORMACAO,ano,2006,31,0,31,0.0,0,0,,,0,,
ingressante,SISTEMAS DE INFORMACAO,ano,2007,36,0,36,0.0,0,0,,,0,,
ingressante,SISTEMAS DE INFORMACAO,ano,2008,42,0,42,0.0,0,0,,,0,,
ingressante,SISTEMAS DE INFORMACAO,ano,2009,45,0,45,0.0,0,0,,,0,,
ingressante,SISTEMAS DE INFORMACAO,ano,2010,41,0,41,0.0,0,0,,,0,,
ingressante,SISTEMAS DE INFORMACAO,ano,2011,40,0,40,0.0,0,0,,,0,,
ingressante,SISTEMAS DE INFORMACAO,ano,2012,40,0,40,0.0,0,0,,,0,,
ingressante,SISTEMAS DE INFORMACAO,ano,2013,27,0,27,0.0,0,0,,,0,,
ingressante,SISTEMAS DE INFORMACAO,ano,2014,31,0,31,0.0,0,0,,,0,,
ingressante,SISTEMAS DE INFORMACAO,ano,2015,41,0,41,0.0,0,0,,,0,,
ingressante,SISTEMAS DE INFORMACAO,ano,2016,41,0,41,0.0,0,0,,,0,,
ingressante,SISTEMAS DE INFORMACAO,ano,2017,50,0,50,0.0,0,0,,,0,,
ingressante,SISTEMAS DE INFORMACAO,ano,2018,45,0,45,0.0,0,0,,,0,,
ingressante,SISTEMAS DE INFORMACAO,ano,2019,44,0,44,0.0,0,0,,,0,,
ingressante,SISTEMAS DE INFORMACAO,ano,2020,30,0,30,0.0,0,0,,,0,,
ingressante,Todos os cursos,semestre,2006/1,31,0,31,0.0,0,0,,,0,,
ingressante,Todos os cursos,semestre,2007/1,36,0,36,0.0,0,0,,,0,,
ingressante,Todos os cursos,semestre,2008/1,42,0,42,0.0,0,0,,,0,,
ingressante,Todos os cursos,semestre,2009/1,45,0,45,0.0,0,0,,,0,,
ingressante,Todos os cursos,semestre,2010/1,41,0,41,0.0,0,0,,,0,,
ingressante,Todos os cursos,semestre,2011/1,40,0,40,0.0,0,0,,,0,,
ingressante,Todos os cursos,semestre,2012/1,40,0,40,0.0,0,0,,,0,,
ingressante,Todos os cursos,semestre,2013/1,27,0,27,0.0,0,0,,,0,,
ingressante,Todos os cursos,semestre,2014/1,31,0,31,0.0,0,0,,,0,,
ingressante,Todos os cursos,semestre,2015/1,41,0,41,0.0,0,0,,,0,,
ingressante,Todos os cursos,semestre,2016/1,41,0,41,0.0,0,0,,,0,,
ingressante,Todos os cursos,semestre,2017/1,50,0,50,0.0,0,0,,,0,,
ingressante,Todos os cursos,semestre,2018/1,45,0,45,0.0,0,0,,,0,,
ingressante,Todos os cursos,semestre,2019/1,44,0,44,0.0,0,0,,,0,,
ingressante,Todos os cursos,semestre,2020/1,30,0,30,0.0,0,0,,,0,,
ingressante,SISTEMAS DE INFORMACAO,semestre,2006/1,31,0,31,0.0,0,0,,,0,,
ingressante,SISTEMAS DE INFORMACAO,semestre,2007/1,36,0,36,0.0,0,0,,,0,,
ingressante,SISTEMAS DE INFORMACAO,semestre,2008/1,42,0,42,0.0,0,0,,,0,,
ingressante,SISTEMAS DE INFORMACAO,semestre,2009/1,45,0,45,0.0,0,0,,,0,,
ingressante,SISTEMAS DE INFORMACAO,semestre,2010/1,41,0,41,0.0,0,0,,,0,,
ingressante,SISTEMAS DE INFORMACAO,semestre,2011/1,40,0,40,0.0,0,0,,,0,,
ingressante,SISTEMAS DE INFORMACAO,semestre,2012/1,40,0,40,0.0,0,0,,,0,,
ingressante,SISTEMAS DE INFORMACAO,semestre,2013/1,27,0,27,0.0,0,0,,,0,,
ingressante,SISTEMAS DE INFORMACAO,semestre,2014/1,31,0,31,0.0,0,0,,,0,,
ingressante,SISTEMAS DE INFORMACAO,semestre,2015/1,41,0,41,0.0,0,0,,,0,,
ingressante,SISTEMAS DE INFORMACAO,semestre,2016/1,41,0,41,0.0,0,0,,,0,,
ingressante,SISTEMAS DE INFORMACAO,semestre,2017/1,50,0,50,0.0,0,0,,,0,,
ingressante,SISTEMAS DE INFORMACAO,semestre,2018/1,45,0,45,0.0,0,0,,,0,,
ingressante,SISTEMAS DE INFORMACAO,semestre,2019/1,44,0,44,0.0,0,0,,,0,,
ingressante,SISTEMAS DE INFORMACAO,semestre,2020/1,30,0,30,0.0,0,0,,,0,,
concluinte,Todos os cursos,ano,2009,17,0,17,0.0,0,0,,,0,,
concluinte,Todos os cursos,ano,2010,22,0,22,0.0,0,0,,,0,,
concluinte,Todos os cursos,ano,2011,10,0,10,0.0,0,0,,,0,,
concluinte,Todos os cursos,ano,2012,7,0,7,0.0,0,0,,,0,,
concluinte,Todos os cursos,ano,2013,12,0,12,0.0,0,0,,,0,,
concluinte,Todos os cursos,ano,2014,11,0,11,0.0,0,0,,,0,,
concluinte,Todos os cursos,ano,2015,18,0,18,0.0,0,0,,,0,,
concluinte,Todos os cursos,ano,2016,12,0,12,0.0,0,0,,,0,,
concluinte,Todos os cursos,ano,2017,12,0,12,0.0,0,0,,,0,,
concluinte,Todos os cursos,ano,2018,8,0,8,0.0,0,0,,,0,,
concluinte,Todos os cursos,ano,2019,11,0,11,0.0,0,0,,,0,,
concluinte,Todos os cursos,ano,2020,3,0,3,0.0,0,0,,,0,,
concluinte,Todos os cursos,ano,2021,20,0,20,0.0,0,0,,,0,,
concluinte,Todos os cursos,ano,2022,12,0,12,0.0,0,0,,,0,,
concluinte,Todos os cursos,ano,2023,16,0,16,0.0,0,0,,,0,,
concluinte,Todos os cursos,ano,2024,8,0,8,0.0,0,0,,,0,,
concluinte,Todos os cursos,ano,2025,3,0,3,0.0,0,0,,,0,,
concluinte,Todos os cursos,ano,2026,2,0,2,0.0,0,0,,,0,,
concluinte,SISTEMAS DE INFORMACAO,ano,2009,17,0,17,0.0,0,0,,,0,,
concluinte,SISTEMAS DE INFORMACAO,ano,2010,22,0,22,0.0,0,0,,,0,,
concluinte,SISTEMAS DE INFORMACAO,ano,2011,10,0,10,0.0,0,0,,,0,,
concluinte,SISTEMAS DE INFORMACAO,ano,2012,7,0,7,0.0,0,0,,,0,,
concluinte,SISTEMAS DE INFORMACAO,ano,2013,12,0,12,0.0,0,0,,,0,,
concluinte,SISTEMAS DE INFORMACAO,ano,2014,11,0,11,0.0,0,0,,,0,,
concluinte,SISTEMAS DE INFORMACAO,ano,2015,18,0,18,0.0,0,0,,,0,,
concluinte,SISTEMAS DE INFORMACAO,ano,2016,12,0,12,0.0,0,0,,,0,,
concluinte,SISTEMAS DE INFORMACAO,ano,2017,12,0,12,0.0,0,0,,,0,,
concluinte,SISTEMAS DE INFORMACAO,ano,2018,8,0,8,0.0,0,0,,,0,,
concluinte,SISTEMAS DE INFORMACAO,ano,2019,11,0,11,0.0,0,0,,,0,,
concluinte,SISTEMAS DE INFORMACAO,ano,2020,3,0,3,0.0,0,0,,,0,,
concluinte,SISTEMAS DE INFORMACAO,ano,2021,20,0,20,0.0,0,0,,,0,,
concluinte,SISTEMAS DE INFORMACAO,ano,2022,12,0,12,0.0,0,0,,,0,,
concluinte,SISTEMAS DE INFORMACAO,ano,2023,16,0,16,0.0,0,0,,,0,,
concluinte,SISTEMAS DE INFORMACAO,ano,2024,8,0,8,0.0,0,0,,,0,,
concluinte,SISTEMAS DE INFORMACAO,ano,2025,3,0,3,0.0,0,0,,,0,,
concluinte,SISTEMAS DE INFORMACAO,ano,2026,2,0,2,0.0,0,0,,,0,,
concluinte,Todos os cursos,semestre,2009/1,17,0,17,0.0,0,0,,,0,,
concluinte,Todos os cursos,semestre,2010/1,22,0,22,0.0,0,0,,,0,,
concluinte,Todos os cursos,semestre,2011/1,10,0,10,0.0,0,0,,,0,,
concluinte,Todos os cursos,semestre,2012/1,7,0,7,0.0,0,0,,,0,,
concluinte,Todos os cursos,semestre,2013/1,12,0,12,0.0,0,0,,,0,,
concluinte,Todos os cursos,semestre,2014/1,11,0,11,0.0,0,0,,,0,,
concluinte,Todos os cursos,semestre,2015/1,18,0,18,0.0,0,0,,,0,,
concluinte,Todos os cursos,semestre,2016/1,12,0,12,0.0,0,0,,,0,,
concluinte,Todos os cursos,semestre,2017/1,12,0,12,0.0,0,0,,,0,,
